Name,Description,Size,Host Key
SH2114,Solomon Mahlangu House 2nd floor,5,8865-1
SH2114,Solomon Mahlangu House 2nd floor,5,8865-2
SH2114,Solomon Mahlangu House 2nd floor,5,5233-2
SH3033,Senate House 3033,5,5233-1
SHWWDH,Solomon Mahlangu House B1,270,5264-1
FNB35,First National Bank Building,150,5265-2
FNB35,First National Bank Building,150,5265-3
FNB35,First National Bank Building,150,5265-4
U2,Umthombo Building,120,8491-2
CB15,Robert Sobukwe Building Ground floor,120,8491-1
WSS4,Wits Science Stadium,300,#SPLUSE2466A
WSS5,Wits Science Stadium,300,#SPLUSE24666
WSS4,Wits Science Stadium,300,#SPLUSE24664
WSS4,Wits Science Stadium,300,#SPLUSE24668
WSS112,Wits Science Stadium,30,#SPLUSE2466C
WSS113,Wits Science Stadium,30,#SPLUSE2466F
WSS122,Wits Science Stadium,30,#SPLUSE24671
WSS114,Wits Science Stadium,30,#SPLUSE24673
WSS121,Wits Science Stadium,30,#SPLUSE24675
A1,John Moffat Building,260,5266-2
U1,Umthombo Building,250,5268-1
GLT,Geo Sciences Building,250,5269-1
WSS3,Wits Science Stadium,250,5269-2
C9,Humphrey Raikes Building,140,5270-2
NCB4,New Commerce Building,250,5270-1
GLT,Geo Sciences Building,240,7696-2
A1,John Moffat Building,240,7696-1
CBEH,Robert Sobukwe Building 2nd floor,240,7708-1
A1,John Moffat Building,260,7698-2
A1,John Moffat Building,260,7698-1
U1,Umthombo Building,265,7700-1
FH,Flower Hall,265,7710-1
SH6,Solomon Mahlangu House Ground floor,250,7699-1
A1,John Moffat Building,250,7711-1
CB15,Robert Sobukwe Building Ground floor,120,5272-2
SHB2,Solomon Mahlangu House B1,120,5272-1
CB142,Robert Sobukwe Building 1st floor,120,5281-2
CB117,Robert Sobukwe Building 1st floor,130,5281-3
G101,Geo Sciences Building,100,9340-1
U2,Umthombo Building,150,5283-2
CB142,Robert Sobukwe Building 1st floor,120,5283-1
CB38,Robert Sobukwe Building Ground floor,170,5284-1
CB38,Robert Sobukwe Building Ground floor,170,5284-2
SHB3,Solomon Mahlangu House B1,110,5287-1
C312,Humphrey Raikes Building,120,5287-2
SHB4,Solomon Mahlangu House B1,135,5292-1
SHB4,Solomon Mahlangu House B1,135,5292-2
CB241,Robert Sobukwe Building 2nd floor,170,5293-2
FNB5,First National Bank Building,170,5293-1
NCB148,New Commerce Building,60,10842-1
C6,Humphrey Raikes Building,60,10842-2
WSS4,Wits Science Stadium,180,10954-5
FNB47,First National Bank Building,180,10954-1
WSS4,Wits Science Stadium,180,10954-4
FNB47,First National Bank Building,180,10954-3
RW4,Richard Ward Building,60,10955-1
LB146,Law Building,100,5298-5
LB146,Law Building,100,5298-4
LB146,Law Building,100,5298-3
CB38,Robert Sobukwe Building Ground floor,200,5302-2
CB142,Robert Sobukwe Building 1st floor,200,5302-1
LB146,Law Building,100,7702-1
LB146,Law Building,40,7705-2
SHB1,Solomon Mahlangu House B1,125,10167-1
CB215,Robert Sobukwe Building 2nd floor,125,10167-2
SHWWDH,Solomon Mahlangu House B1,270,5501-1
SHWWDH,Solomon Mahlangu House B1,270,5501-2
RW4,Richard Ward Building,100,9322-1
G101,Geo Sciences Building,100,9322-2
RW4,Richard Ward Building,100,9322-3
WSS1,Wits Science Stadium,220,9323-2
FNB5,First National Bank Building,210,9323-1
FNB131,First National Bank Building,20,9326-8
WSS103,Wits Science Stadium,20,9326-7
WSS104 (Esorfranki Room),Wits Science Stadium,20,9326-6
WSS101 (Bateman Room),Wits Science Stadium,20,9326-5
FNB150,First National Bank Building,20,9326-4
WSS114,Wits Science Stadium,20,9326-2
WSS112,Wits Science Stadium,20,9326-1
FNB36,First National Bank Building,130,5504-1
FNB35,First National Bank Building,100,5503-2
LB143,Law Building,100,5503-1
FNB45,First National Bank Building,200,9327-6
FNB45,First National Bank Building,200,9327-7
FNB45,First National Bank Building,200,5505-3
FNB5,First National Bank Building,200,5505-1
FNB45,First National Bank Building,200,5505-2
U3,Umthombo Building,150,5506-1
FNB5,First National Bank Building,150,5506-2
FNB45,First National Bank Building,140,5507-3
FNB45,First National Bank Building,140,5507-2
FNB35,First National Bank Building,140,9329-1
FNB37,First National Bank Building,70,5509-2
CM2,CoM Building,120,5509-1
NCB4,New Commerce Building,150,5510-1
FNB37,First National Bank Building,160,5512-1
CB38,Robert Sobukwe Building Ground floor,150,5512-2
FNB36,First National Bank Building,160,9331-1
OLS3,Oppenheimer Life Sciences,120,5513-1
C6,Humphrey Raikes Building,120,5513-2
FNB33,First National Bank Building,170,9332-1
FNB45,First National Bank Building,170,5516-3
FNB5,First National Bank Building,170,5516-2
FNB45,First National Bank Building,150,5515-1
WSS103,Wits Science Stadium,30,10718-1
WSS103,Wits Science Stadium,30,10718-2
U5,Umthombo Building,30,10718-3
FNB5,First National Bank Building,180,5517-1
FNB33,First National Bank Building,150,5517-2
U5,Umthombo Building,30,10719-1
FNB5,First National Bank Building,180,5518-1
FNB37,First National Bank Building,150,5519-3
FNB35,First National Bank Building,150,5519-1
U3,Umthombo Building,140,9334-1
CM1,CoM Building,120,5520-2
CM1,CoM Building,120,5520-3
